booking_id,booking_datetime,pickup_location,drop_location,distance_km,estimated_fare,booking_hour,booking_day,booking_day_of_week,passenger_count,vehicle_type,payment_method,driver_rating,customer_rating,driver_experience_years,driver_acceptance_rate,customer_previous_cancellations,customer_total_bookings,driver_previous_cancellations,surge_multiplier,estimated_pickup_time_minutes,weather,traffic_condition,booking_source,is_weekend,cancellation
CAB_00000,2024-04-07 18:39:00,Business District,Market,8.42,164.01,18,7,6,4,SUV,UPI,4.9,4.79,5.71,99.0,1,35,3,2.25,30.63,Rainy,Low,Call Center,1,1
CAB_00001,2025-02-02 11:29:00,Downtown,Harbor,11.27,276.21,11,2,6,2,Economy,UPI,4.45,3.98,2.86,92.76,3,32,1,1.34,49.72,Rainy,Moderate,App,1,0
CAB_00002,2026-05-04 15:28:00,Market,Business District,12.86,240.79,15,4,0,3,SUV,Cash,4.35,4.48,7.38,93.67,1,33,1,1.0,40.08,Cloudy,Moderate,App,0,1
CAB_00003,2026-07-25 06:55:00,Old Town,Business District,5.52,120.0,6,25,5,4,Premium,Wallet,4.33,3.8,7.06,75.96,1,37,1,1.37,25.3,Cloudy,Heavy,App,1,1
CAB_00004,2025-01-10 02:20:00,Harbor,Old Town,4.3,120.0,2,10,4,3,Auto,UPI,4.07,4.23,8.19,57.09,1,29,2,1.64,36.56,Rainy,Low,Call Center,0,1
CAB_00005,2025-11-19 02:45:00,Business District,Airport,5.62,120.0,2,19,2,3,Economy,Cash,4.32,3.71,7.53,79.67,3,34,2,1.0,25.19,Cloudy,Low,App,0,0
CAB_00006,2025-08-19 12:50:00,Business District,Old Town,6.31,137.51,12,19,1,1,Economy,Cash,5.0,4.47,8.64,75.51,0,32,1,2.12,43.53,Rainy,Heavy,Website,0,1
CAB_00007,2026-12-21 22:10:00,Airport,University,7.97,182.4,22,21,0,4,Economy,UPI,5.0,4.51,4.19,99.0,0,38,1,1.19,66.7,Cloudy,Severe,Website,0,1
CAB_00008,2026-03-28 04:22:00,Residential,Business District,7.76,179.26,4,28,5,3,SUV,Wallet,5.0,4.45,7.56,52.25,2,29,2,1.0,20.54,Clear,Low,Partner,1,0
CAB_00009,2024-05-24 11:30:00,Market,Airport,3.62,120.0,11,24,4,3,Auto,Cash,4.6,5.0,11.51,70.2,3,38,1,1.45,47.74,Clear,Heavy,Website,0,1
CAB_00010,2024-05-10 08:55:00,Business District,Harbor,16.77,441.48,8,10,4,3,Premium,Cash,3.97,4.22,6.59,99.0,1,42,0,1.44,57.01,Storm,Low,App,0,1
CAB_00011,2024-08-01 04:49:00,Downtown,Market,5.25,123.48,4,1,3,4,Premium,Card,4.46,5.0,10.53,88.79,0,32,0,1.78,28.23,Rainy,Low,App,0,0
CAB_00012,2026-01-24 02:50:00,University,Residential,8.03,170.46,2,24,5,4,Auto,Wallet,4.57,5.0,0.5,79.45,1,28,1,1.74,50.46,Snow,Heavy,Website,1,1
CAB_00013,2024-07-19 16:14:00,Old Town,Harbor,10.48,251.16,16,19,4,4,Auto,Card,4.37,4.43,3.27,97.84,0,28,0,1.71,49.03,Storm,Low,App,0,0
CAB_00014,2026-03-03 03:57:00,Harbor,Downtown,3.03,120.0,3,3,1,2,SUV,Wallet,4.64,4.98,7.45,48.63,3,35,0,1.19,44.37,Cloudy,Heavy,Partner,0,1
CAB_00015,2026-03-09 10:55:00,University,University,7.84,168.58,10,9,0,2,Premium,Wallet,4.67,4.9,2.11,81.12,4,36,2,1.31,27.77,Clear,Heavy,App,0,1
CAB_00016,2026-11-26 11:18:00,Business District,Downtown,6.38,151.78,11,26,3,4,Economy,Cash,4.82,4.47,7.93,86.44,0,30,1,2.22,46.82,Storm,Heavy,Partner,0,1
CAB_00017,2024-06-20 01:49:00,Residential,Harbor,9.39,233.81,1,20,3,4,SUV,Cash,5.0,4.37,9.83,84.38,1,37,0,1.4,58.24,Clear,Heavy,Call Center,0,1
